date	close	index
2-Sep-09	165.18	3
1-Sep-09	165.3	2
31-Aug-09	168.21	2
28-Aug-09	170.05	1
27-Aug-09	169.45	3
26-Aug-09	167.41	1
25-Aug-09	169.4	3
24-Aug-09	169.06	3
21-Aug-09	169.22	3
20-Aug-09	166.33	2
19-Aug-09	164.6	3
18-Aug-09	164.0	2
17-Aug-09	159.59	1
14-Aug-09	166.78	1
13-Aug-09	168.42	2
12-Aug-09	165.31	3
10-Aug-09	164.72	2
7-Aug-09	165.51	2
6-Aug-09	163.91	2
5-Aug-09	165.11	1
4-Aug-09	165.55	2
3-Aug-09	166.43	1
31-Jul-09	163.39	2
30-Jul-09	162.79	3
29-Jul-09	160.03	1
28-Jul-09	160.0	3
27-Jul-09	160.1	1
24-Jul-09	159.99	1
23-Jul-09	157.82	2
22-Jul-09	156.74	2
21-Jul-09	151.51	1
20-Jul-09	152.91	1
17-Jul-09	151.75	3
16-Jul-09	147.52	3
15-Jul-09	146.88	2
14-Jul-09	142.27	2
13-Jul-09	142.34	1
10-Jul-09	138.52	3
9-Jul-09	136.36	2
8-Jul-09	137.22	2
7-Jul-09	135.4	2
6-Jul-09	138.61	3
3-Jul-09	140.02	2
2-Jul-09	140.02	3
1-Jul-09	142.83	1
30-Jun-09	142.43	3
29-Jun-09	141.97	1
26-Jun-09	142.44	1
25-Jun-09	139.86	3
24-Jun-09	136.22	2
23-Jun-09	134.01	1
22-Jun-09	137.37	2
19-Jun-09	139.48	3
18-Jun-09	135.88	3
17-Jun-09	135.58	1
16-Jun-09	136.35	2
15-Jun-09	136.09	2
12-Jun-09	136.97	2
11-Jun-09	139.95	1
10-Jun-09	140.25	1
9-Jun-09	142.72	3
8-Jun-09	143.85	2
5-Jun-09	144.67	3
4-Jun-09	143.74	2
3-Jun-09	140.95	1
2-Jun-09	139.49	3
1-Jun-09	139.35	1
29-May-09	135.81	2
28-May-09	135.07	2
27-May-09	133.05	2
26-May-09	130.78	2
22-May-09	122.5	1
21-May-09	124.18	3
20-May-09	125.87	2
19-May-09	127.45	2
18-May-09	126.65	2
15-May-09	122.42	3
14-May-09	122.95	1
13-May-09	119.49	3
12-May-09	124.42	1
11-May-09	129.57	2
8-May-09	129.19	1
7-May-09	129.06	1
6-May-09	132.5	2
5-May-09	132.71	1
4-May-09	132.07	1
1-May-09	127.24	2
30-Apr-09	125.83	2
29-Apr-09	125.14	3
28-Apr-09	123.9	1
27-Apr-09	124.73	1
24-Apr-09	123.9	2
23-Apr-09	125.4	3
22-Apr-09	121.51	3
21-Apr-09	121.76	2
20-Apr-09	120.5	2
17-Apr-09	123.42	2
16-Apr-09	121.45	3
15-Apr-09	117.64	2
14-Apr-09	118.31	3
13-Apr-09	120.22	3
10-Apr-09	119.57	1
9-Apr-09	119.57	1
8-Apr-09	116.32	2
7-Apr-09	115.0	1
6-Apr-09	118.45	2
3-Apr-09	115.99	2
2-Apr-09	112.71	1
1-Apr-09	108.69	3
31-Mar-09	105.12	1
30-Mar-09	104.49	3
27-Mar-09	106.85	3
26-Mar-09	109.87	1
25-Mar-09	106.49	2
24-Mar-09	106.5	2
23-Mar-09	107.66	1
20-Mar-09	101.59	1
19-Mar-09	101.62	3
18-Mar-09	101.52	3
17-Mar-09	99.66	1
16-Mar-09	95.42	3
13-Mar-09	95.93	3
12-Mar-09	96.35	3
11-Mar-09	92.68	1
10-Mar-09	88.63	2
9-Mar-09	83.11	3
6-Mar-09	85.3	2
5-Mar-09	88.84	1
4-Mar-09	91.17	3
3-Mar-09	88.37	3
2-Mar-09	87.94	1
27-Feb-09	89.31	1
26-Feb-09	89.19	2
25-Feb-09	91.16	1
24-Feb-09	90.25	3
23-Feb-09	86.95	3
20-Feb-09	91.2	2
19-Feb-09	90.64	1
18-Feb-09	94.37	2
17-Feb-09	94.53	1
13-Feb-09	99.16	2
12-Feb-09	99.27	2
11-Feb-09	96.82	2
10-Feb-09	97.83	2
9-Feb-09	102.51	3
6-Feb-09	99.72	2
5-Feb-09	96.46	3
4-Feb-09	93.55	3
3-Feb-09	92.98	1
2-Feb-09	91.51	3
30-Jan-09	90.13	3
29-Jan-09	93.0	3
28-Jan-09	94.2	1
27-Jan-09	90.73	1
26-Jan-09	89.64	1
23-Jan-09	88.36	3
22-Jan-09	88.36	2
21-Jan-09	82.83	1
20-Jan-09	78.2	2
16-Jan-09	82.33	1
15-Jan-09	83.38	1
14-Jan-09	85.33	1
13-Jan-09	87.71	3
12-Jan-09	88.66	2
9-Jan-09	90.58	1
8-Jan-09	92.7	1
7-Jan-09	91.01	3
6-Jan-09	93.02	1
5-Jan-09	94.58	1
2-Jan-09	90.75	1
1-Jan-09	85.35	1
31-Dec-08	85.35	2
30-Dec-08	86.29	1
29-Dec-08	86.61	2
26-Dec-08	85.81	2
25-Dec-08	85.04	3
24-Dec-08	85.04	3
23-Dec-08	86.38	1
22-Dec-08	85.74	1
19-Dec-08	90.0	3
18-Dec-08	89.43	1
17-Dec-08	89.16	1
16-Dec-08	95.43	3
15-Dec-08	94.75	1
12-Dec-08	98.27	2
11-Dec-08	95.0	3
10-Dec-08	98.21	2
9-Dec-08	100.06	1
8-Dec-08	99.72	3
5-Dec-08	94.0	3
4-Dec-08	91.41	3
3-Dec-08	95.9	2
2-Dec-08	92.47	3
1-Dec-08	88.93	3
28-Nov-08	92.67	1
27-Nov-08	95.0	2
26-Nov-08	95.0	1
25-Nov-08	90.8	3
24-Nov-08	92.95	1
21-Nov-08	82.58	2
20-Nov-08	80.49	1
19-Nov-08	86.29	1
18-Nov-08	89.91	3
17-Nov-08	88.14	2
14-Nov-08	90.24	3
13-Nov-08	96.44	1
12-Nov-08	90.12	1
11-Nov-08	94.77	1
10-Nov-08	95.88	3
7-Nov-08	98.24	1
6-Nov-08	99.1	2
5-Nov-08	103.3	1
4-Nov-08	110.99	1
3-Nov-08	106.96	3
31-Oct-08	107.59	1
30-Oct-08	111.04	2
29-Oct-08	104.55	3
28-Oct-08	99.91	1
27-Oct-08	92.09	2
24-Oct-08	96.38	3
23-Oct-08	98.23	1
22-Oct-08	96.87	3
21-Oct-08	91.49	2
20-Oct-08	98.44	1
17-Oct-08	97.4	2
16-Oct-08	101.89	1
15-Oct-08	97.95	2
14-Oct-08	104.08	3
13-Oct-08	110.26	3
10-Oct-08	96.8	1
9-Oct-08	88.74	1
8-Oct-08	89.79	1
7-Oct-08	89.16	2
6-Oct-08	98.14	3
3-Oct-08	97.07	1
2-Oct-08	100.1	1
1-Oct-08	109.12	2
30-Sep-08	113.66	2
29-Sep-08	105.26	1
26-Sep-08	128.24	2
25-Sep-08	131.93	2
24-Sep-08	128.71	2
23-Sep-08	126.84	2
22-Sep-08	131.05	2
19-Sep-08	140.91	3
18-Sep-08	134.09	2
17-Sep-08	127.83	3
16-Sep-08	139.88	2
15-Sep-08	140.36	1
12-Sep-08	148.94	1
11-Sep-08	152.65	3
10-Sep-08	151.61	2
9-Sep-08	151.68	2
8-Sep-08	157.92	3
5-Sep-08	160.18	1
4-Sep-08	161.22	3
3-Sep-08	166.96	2
2-Sep-08	166.19	1
29-Aug-08	169.53	1
28-Aug-08	173.74	1
27-Aug-08	174.67	1
26-Aug-08	173.64	2
25-Aug-08	172.55	2
22-Aug-08	176.79	3
21-Aug-08	174.29	2
20-Aug-08	175.84	3
19-Aug-08	173.53	3
18-Aug-08	175.39	1
15-Aug-08	175.74	3
14-Aug-08	179.32	3
13-Aug-08	179.3	3
12-Aug-08	176.73	2
11-Aug-08	173.56	3
8-Aug-08	169.55	1
7-Aug-08	163.57	2
6-Aug-08	164.19	2
5-Aug-08	160.64	3
4-Aug-08	153.23	1
1-Aug-08	156.66	2
31-Jul-08	158.95	3
30-Jul-08	159.88	2
29-Jul-08	157.08	2
28-Jul-08	154.4	1
25-Jul-08	162.12	2
24-Jul-08	159.03	2
23-Jul-08	166.26	1
22-Jul-08	162.02	3
21-Jul-08	166.29	3
18-Jul-08	165.15	1
17-Jul-08	171.81	3
16-Jul-08	172.81	2
15-Jul-08	169.64	1
14-Jul-08	173.88	1
11-Jul-08	172.58	2
10-Jul-08	176.63	2
9-Jul-08	174.25	2
8-Jul-08	179.55	2
7-Jul-08	175.16	2
3-Jul-08	170.12	2
2-Jul-08	168.18	1
1-Jul-08	174.68	2
30-Jun-08	167.44	3
27-Jun-08	170.09	2
26-Jun-08	168.26	1
25-Jun-08	177.39	3
24-Jun-08	173.25	2
23-Jun-08	173.16	1
20-Jun-08	175.27	3
19-Jun-08	180.9	3
18-Jun-08	178.75	1
17-Jun-08	181.43	1
16-Jun-08	176.84	1
13-Jun-08	172.37	3
12-Jun-08	173.26	3
11-Jun-08	180.81	2
10-Jun-08	185.64	1
9-Jun-08	181.61	2
6-Jun-08	185.64	3
5-Jun-08	189.43	2
4-Jun-08	185.19	3
3-Jun-08	185.37	2
2-Jun-08	186.1	1
30-May-08	188.75	2
29-May-08	186.69	3
28-May-08	187.01	2
27-May-08	186.43	2
23-May-08	181.17	1
22-May-08	177.05	1
